"coding","TL","L1","L2","L3","L4"
1425,"cardiovascular","cerebrovascular disease","cerebral aneurysm",,
1491,"cardiovascular","cerebrovascular disease","stroke","brain haemorrhage",
1583,"cardiovascular","cerebrovascular disease","stroke","ischaemic stroke",
1086,"cardiovascular","cerebrovascular disease","stroke","subarachnoid haemorrhage",
1081,"cardiovascular","cerebrovascular disease","stroke",,
1083,"cardiovascular","cerebrovascular disease","subdural haemorrhage/haematoma",,
1082,"cardiovascular","cerebrovascular disease","transient ischaemic attack (tia)",,
1074,"cardiovascular","heart/cardiac problem","angina",,
1588,"cardiovascular","heart/cardiac problem","cardiomyopathy","hypertrophic cardiomyopathy (hcm / hocm)",
1079,"cardiovascular","heart/cardiac problem","cardiomyopathy",,
1471,"cardiovascular","heart/cardiac problem","heart arrhythmia","atrial fibrillation",
1483,"cardiovascular","heart/cardiac problem","heart arrhythmia","atrial flutter",
1485,"cardiovascular","heart/cardiac problem","heart arrhythmia","irregular heart beat",
1486,"cardiovascular","heart/cardiac problem","heart arrhythmia","sick sinus syndrome",
1487,"cardiovascular","heart/cardiac problem","heart arrhythmia","svt / supraventricular tachycardia",
1484,"cardiovascular","heart/cardiac problem","heart arrhythmia","wolff parkinson white / wpw syndrome",
1077,"cardiovascular","heart/cardiac problem","heart arrhythmia",,
1075,"cardiovascular","heart/cardiac problem","heart attack/myocardial infarction",,
1076,"cardiovascular","heart/cardiac problem","heart failure/pulmonary odema",,
1587,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","aortic valve disease","aortic regurgitation / incompetence"
1490,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","aortic valve disease","aortic stenosis"
1586,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","aortic valve disease",
1585,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","mitral valve disease","mitral regurgitation / incompetence"
1489,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","mitral valve disease","mitral stenosis"
1488,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","mitral valve disease","mitral valve prolapse"
1584,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur","mitral valve disease",
1078,"cardiovascular","heart/cardiac problem","heart valve problem/heart murmur",,
1426,"cardiovascular","heart/cardiac problem","myocarditis",,
1590,"cardiovascular","heart/cardiac problem","pericardial problem","pericardial effusion",
1589,"cardiovascular","heart/cardiac problem","pericardial problem","pericarditis",
1080,"cardiovascular","heart/cardiac problem","pericardial problem",,
1479,"cardiovascular","heart/cardiac problem","rheumatic fever",,
1066,"cardiovascular","heart/cardiac problem",,,
1473,"cardiovascular","high cholesterol",,,
1072,"cardiovascular","hypertension","essential hypertension",,
1073,"cardiovascular","hypertension","gestational hypertension/pre-eclampsia",,
1065,"cardiovascular","hypertension",,,
1495,"cardiovascular","other venous/lymphatic disease","lymphoedema",,
1593,"cardiovascular","other venous/lymphatic disease","varicose ulcer",,
1494,"cardiovascular","other venous/lymphatic disease","varicose veins",,
1493,"cardiovascular","other venous/lymphatic disease",,,
1591,"cardiovascular","peripheral vascular disease","aortic aneurysm","aortic aneurysm rupture",
1592,"cardiovascular","peripheral vascular disease","aortic aneurysm","aortic dissection",
1492,"cardiovascular","peripheral vascular disease","aortic aneurysm",,
1088,"cardiovascular","peripheral vascular disease","arterial embolism",,
1087,"cardiovascular","peripheral vascular disease","leg claudication/ intermittent claudication",,
1067,"cardiovascular","peripheral vascular disease",,,
1094,"cardiovascular","venous thromboembolic disease","deep venous thrombosis (dvt)",,
1093,"cardiovascular","venous thromboembolic disease","pulmonary embolism +/- dvt",,
1068,"cardiovascular","venous thromboembolic disease",,,
1682,"endocrine/diabetes","benign insulinoma",,,
1432,"endocrine/diabetes","carcinoid syndrome/tumour",,,
1239,"endocrine/diabetes","cushings syndrome",,,
1521,"endocrine/diabetes","diabetes","diabetes insipidus",,
1221,"endocrine/diabetes","diabetes","gestational diabetes",,
1222,"endocrine/diabetes","diabetes","type 1 diabetes",,
1223,"endocrine/diabetes","diabetes","type 2 diabetes",,
1220,"endocrine/diabetes","diabetes",,,
1233,"endocrine/diabetes","disorder of adrenal gland","adrenal tumour",,
1234,"endocrine/diabetes","disorder of adrenal gland","adrenocortical insufficiency/addison's disease",,
1235,"endocrine/diabetes","disorder of adrenal gland","hyperaldosteronism/conn's syndrome",,
1236,"endocrine/diabetes","disorder of adrenal gland","phaeochromocytoma",,
1232,"endocrine/diabetes","disorder of adrenal gland",,,
1429,"endocrine/diabetes","disorder or pituitary gland","acromegaly",,
1431,"endocrine/diabetes","disorder or pituitary gland","hyperprolactinaemia",,
1430,"endocrine/diabetes","disorder or pituitary gland","hypopituitarism",,
1238,"endocrine/diabetes","disorder or pituitary gland","pituitary adenoma/tumour",,
1237,"endocrine/diabetes","disorder or pituitary gland",,,
1611,"endocrine/diabetes","parathyroid gland problem (not cancer)","hyperparathyroidism",,
1230,"endocrine/diabetes","parathyroid gland problem (not cancer)","parathyroid hyperplasia/adenoma",,
1229,"endocrine/diabetes","parathyroid gland problem (not cancer)",,,
1522,"endocrine/diabetes","thyroid problem (not cancer)","grave's disease",,
1225,"endocrine/diabetes","thyroid problem (not cancer)","hyperthyroidism/thyrotoxicosis",,
1226,"endocrine/diabetes","thyroid problem (not cancer)","hypothyroidism/myxoedema",,
1610,"endocrine/diabetes","thyroid problem (not cancer)","thyroid goitre",,
1228,"endocrine/diabetes","thyroid problem (not cancer)","thyroid radioablation therapy",,
1428,"endocrine/diabetes","thyroid problem (not cancer)","thyroiditis",,
1224,"endocrine/diabetes","thyroid problem (not cancer)",,,
1504,"gastrointestinal/abdominal","bowel problem","anal problem","anal fissure",
1505,"gastrointestinal/abdominal","bowel problem","anal problem","haemorrhoids / piles",
1503,"gastrointestinal/abdominal","bowel problem","anal problem",,
1502,"gastrointestinal/abdominal","bowel problem","appendicitis",,
1601,"gastrointestinal/abdominal","bowel problem","bowel / intestinal infarction",,
1602,"gastrointestinal/abdominal","bowel problem","bowel / intestinal obstruction",,
1600,"gastrointestinal/abdominal","bowel problem","bowel / intestinal perforation",,
1459,"gastrointestinal/abdominal","bowel problem","colitis/not crohns or ulcerative colitis",,
1599,"gastrointestinal/abdominal","bowel problem","constipation",,
1458,"gastrointestinal/abdominal","bowel problem","diverticular disease/diverticulitis",,
1457,"gastrointestinal/abdominal","bowel problem","duodenal ulcer",,
1462,"gastrointestinal/abdominal","bowel problem","inflammatory bowel disease","crohns disease",
1463,"gastrointestinal/abdominal","bowel problem","inflammatory bowel disease","ulcerative colitis",
1461,"gastrointestinal/abdominal","bowel problem","inflammatory bowel disease",,
1154,"gastrointestinal/abdominal","bowel problem","irritable bowel syndrome",,
1456,"gastrointestinal/abdominal","bowel problem","malabsorption/coeliac disease",,
1460,"gastrointestinal/abdominal","bowel problem","rectal or colon adenoma/polyps",,
1603,"gastrointestinal/abdominal","bowel problem","rectal prolapse",,
1160,"gastrointestinal/abdominal","liver/biliary/pancreas problem","bile duct disease","bile duct obstruction/ascending cholangitis",
1475,"gastrointestinal/abdominal","liver/biliary/pancreas problem","bile duct disease","sclerosing cholangitis",
1159,"gastrointestinal/abdominal","liver/biliary/pancreas problem","bile duct disease",,
1163,"gastrointestinal/abdominal","liver/biliary/pancreas problem","gall bladder disease","cholecystitis",
1162,"gastrointestinal/abdominal","liver/biliary/pancreas problem","gall bladder disease","cholelithiasis/gall stones",
1161,"gastrointestinal/abdominal","liver/biliary/pancreas problem","gall bladder disease",,
1507,"gastrointestinal/abdominal","liver/biliary/pancreas problem","haemochromatosis",,
1578,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","infective/viral hepatitis","hepatitis a"
1579,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","infective/viral hepatitis","hepatitis b"
1580,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","infective/viral hepatitis","hepatitis c"
1581,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","infective/viral hepatitis","hepatitis d"
1582,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","infective/viral hepatitis","hepatitis e"
1156,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","infective/viral hepatitis",
1157,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis","non-infective hepatitis",
1155,"gastrointestinal/abdominal","liver/biliary/pancreas problem","hepatitis",,
1508,"gastrointestinal/abdominal","liver/biliary/pancreas problem","jaundice (unknown cause)",,
1604,"gastrointestinal/abdominal","liver/biliary/pancreas problem","liver failure/cirrhosis","alcoholic liver disease / alcoholic cirrhosis",
1506,"gastrointestinal/abdominal","liver/biliary/pancreas problem","liver failure/cirrhosis","primary biliary cirrhosis",
1158,"gastrointestinal/abdominal","liver/biliary/pancreas problem","liver failure/cirrhosis",,
1165,"gastrointestinal/abdominal","liver/biliary/pancreas problem","pancreatic disease","pancreatitis",
1164,"gastrointestinal/abdominal","liver/biliary/pancreas problem","pancreatic disease",,
1136,"gastrointestinal/abdominal","liver/biliary/pancreas problem",,,
1138,"gastrointestinal/abdominal","oesophageal disorder","gastro-oesophageal reflux (gord) / gastric reflux",,
1474,"gastrointestinal/abdominal","oesophageal disorder","hiatus hernia",,
1140,"gastrointestinal/abdominal","oesophageal disorder","oesophageal stricture",,
1141,"gastrointestinal/abdominal","oesophageal disorder","oesophageal varicies",,
1139,"gastrointestinal/abdominal","oesophageal disorder","oesophagitis/barretts oesophagus",,
1134,"gastrointestinal/abdominal","oesophageal disorder",,,
1605,"gastrointestinal/abdominal","other abdominal problem","abdominal hernia","femoral hernia",
1606,"gastrointestinal/abdominal","other abdominal problem","abdominal hernia","incisional hernia",
1513,"gastrointestinal/abdominal","other abdominal problem","abdominal hernia","inguinal hernia",
1512,"gastrointestinal/abdominal","other abdominal problem","abdominal hernia","umbilical hernia",
1511,"gastrointestinal/abdominal","other abdominal problem","abdominal hernia",,
1510,"gastrointestinal/abdominal","other abdominal problem","dyspepsia / indigestion",,
1509,"gastrointestinal/abdominal","other abdominal problem","gastroenteritis/dysentry",,
1191,"gastrointestinal/abdominal","other abdominal problem","gastrointestinal bleeding",,
1400,"gastrointestinal/abdominal","other abdominal problem","peptic ulcer",,
1190,"gastrointestinal/abdominal","other abdominal problem","peritonitis",,
1137,"gastrointestinal/abdominal","other abdominal problem",,,
1142,"gastrointestinal/abdominal","stomach disorder","gastric/stomach ulcers",,
1143,"gastrointestinal/abdominal","stomach disorder","gastritis/gastric erosions",,
1501,"gastrointestinal/abdominal","stomach disorder","pyloric stenosis",,
1135,"gastrointestinal/abdominal","stomach disorder",,,
1666,"gynaecology/breast","breast disease (not cancer)","benign breast lump",,
1367,"gynaecology/breast","breast disease (not cancer)","breast cysts",,
1560,"gynaecology/breast","breast disease (not cancer)","breast fibroadenoma",,
1366,"gynaecology/breast","breast disease (not cancer)","fibrocystic disease",,
1364,"gynaecology/breast","breast disease (not cancer)",,,
1662,"gynaecology/breast","gynaecological disorder (not cancer)","cervical problem","cervical erosion",
1663,"gynaecology/breast","gynaecological disorder (not cancer)","cervical problem","cervical intra-epithelial neoplasia (cin) / precancerous cells cervix","abnormal smear (cervix)"
1554,"gynaecology/breast","gynaecological disorder (not cancer)","cervical problem","cervical intra-epithelial neoplasia (cin) / precancerous cells cervix",
1555,"gynaecology/breast","gynaecological disorder (not cancer)","cervical problem","cervical polyps",
1553,"gynaecology/breast","gynaecological disorder (not cancer)","cervical problem",,
1664,"gynaecology/breast","gynaecological disorder (not cancer)","dysmenorrhoea / dysmenorrhea",,
1403,"gynaecology/breast","gynaecological disorder (not cancer)","female infertility",,
1665,"gynaecology/breast","gynaecological disorder (not cancer)","menopausal symptoms / menopause",,
1556,"gynaecology/breast","gynaecological disorder (not cancer)","menorrhagia (unknown cause)",,
1681,"gynaecology/breast","gynaecological disorder (not cancer)","ovarian problem","ovarian cyst or cysts","hydatiform mole"
1349,"gynaecology/breast","gynaecological disorder (not cancer)","ovarian problem","ovarian cyst or cysts",
1350,"gynaecology/breast","gynaecological disorder (not cancer)","ovarian problem","polycystic ovaries/polycystic ovarian syndrome",
1551,"gynaecology/breast","gynaecological disorder (not cancer)","ovarian problem",,
1557,"gynaecology/breast","gynaecological disorder (not cancer)","pelvic inflammatory disease/ pid",,
1402,"gynaecology/breast","gynaecological disorder (not cancer)","uterine problem","endometriosis",
1351,"gynaecology/breast","gynaecological disorder (not cancer)","uterine problem","uterine fibroids",
1352,"gynaecology/breast","gynaecological disorder (not cancer)","uterine problem","uterine polyps",
1353,"gynaecology/breast","gynaecological disorder (not cancer)","uterine problem","vaginal prolapse/uterine prolapse",
1552,"gynaecology/breast","gynaecological disorder (not cancer)","uterine problem",,
1348,"gynaecology/breast","gynaecological disorder (not cancer)",,,
1558,"gynaecology/breast","obstetric problem","ectopic pregnancy",,
1559,"gynaecology/breast","obstetric problem","miscarriage",,
1548,"haematology/dermatology","dermatology","acne/acne vulgaris",,
1667,"haematology/dermatology","dermatology","alopecia / hair loss",,
1345,"haematology/dermatology","dermatology","blistering/desquamating skin disorder","pemphigoid/pemphigus",
1344,"haematology/dermatology","dermatology","blistering/desquamating skin disorder","stevens johnson syndrome",
1454,"haematology/dermatology","dermatology","blistering/desquamating skin disorder",,
1680,"haematology/dermatology","dermatology","bowen's disease",,
1625,"haematology/dermatology","dermatology","cellulitis",,
1455,"haematology/dermatology","dermatology","chronic skin ulcers",,
1452,"haematology/dermatology","dermatology","eczema/dermatitis",,
1549,"haematology/dermatology","dermatology","lichen planus",,
1550,"haematology/dermatology","dermatology","lichen sclerosis",,
1453,"haematology/dermatology","dermatology","psoriasis",,
1660,"haematology/dermatology","dermatology","rosacea",,
1661,"haematology/dermatology","dermatology","vitiligo",,
1332,"haematology/dermatology","haematology","anaemia","aplastic anaemia",
1330,"haematology/dermatology","haematology","anaemia","iron deficiency anaemia",
1331,"haematology/dermatology","haematology","anaemia","pernicious anaemia",
1446,"haematology/dermatology","haematology","anaemia",,
1546,"haematology/dermatology","haematology","clotting disorder/excessive bleeding","essential thrombocytosis",
1328,"haematology/dermatology","haematology","clotting disorder/excessive bleeding","haemophilia",
1327,"haematology/dermatology","haematology","clotting disorder/excessive bleeding","low platelets/platelet disorder",
1445,"haematology/dermatology","haematology","clotting disorder/excessive bleeding",,
1339,"haematology/dermatology","haematology","hereditary/genetic haematological disorder","sickle cell disease",
1340,"haematology/dermatology","haematology","hereditary/genetic haematological disorder","thalassaemia",
1451,"haematology/dermatology","haematology","hereditary/genetic haematological disorder",,
1450,"haematology/dermatology","haematology","monoclonal gammopathy/not myeloma",,
1658,"haematology/dermatology","haematology","myeloproliferative disorder","myelofibrosis",
1438,"haematology/dermatology","haematology","myeloproliferative disorder","polycythaemia vera",
1449,"haematology/dermatology","haematology","myeloproliferative disorder",,
1448,"haematology/dermatology","haematology","neutropenia/lymphopenia",,
1447,"haematology/dermatology","haematology","pancytopenia",,
1386,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","allergy or anaphylactic reaction to drug",,
1385,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","allergy or anaphylactic reaction to food",,
1668,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","allergy to house dust mite",,
1670,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","contact dermatitis","allergy to elastoplast",
1671,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","contact dermatitis","allergy to nickel",
1669,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","contact dermatitis",,
1562,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","food intolerance",,
1387,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","hayfever/allergic rhinitis",,
1563,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis","urticaria",,
1374,"immunological/systemic disorders","allergy/hypersensitivity/anaphylaxis",,,
1564,"immunological/systemic disorders","antiphospholipid syndrome",,,
1482,"immunological/systemic disorders","chronic fatigue syndrome",,,
1480,"immunological/systemic disorders","connective tissue disorder","dermatopolymyositis","dermatomyositis",
1481,"immunological/systemic disorders","connective tissue disorder","dermatopolymyositis","polymyositis",
1383,"immunological/systemic disorders","connective tissue disorder","dermatopolymyositis",,
1561,"immunological/systemic disorders","connective tissue disorder","raynaud's phenomenon/disease",,
1384,"immunological/systemic disorders","connective tissue disorder","scleroderma/systemic sclerosis",,
1382,"immunological/systemic disorders","connective tissue disorder","sjogren's syndrome/sicca syndrome",,
1381,"immunological/systemic disorders","connective tissue disorder","systemic lupus erythematosis/sle",,
1376,"immunological/systemic disorders","connective tissue disorder","vasculitis","giant cell/temporal arteritis",
